"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","ANTsCross",0.266542234578197,0.280131111113271,0.283022555906657,0.286316770672082,0.298735563654616,0.00460535409118998,0.882653608761816,0.954862660307988,0.972913517513762,0.990933245889669,1.08348265283264,0.0269499601207304,3.06672922163013,3.35943704036451,3.43510915108187,3.51497771515835,3.89514228123082,0.113349925359861
"lcMFG","ANTsCross",0.370381120883095,0.38941900174932,0.393639512894011,0.398157298349658,0.415546244969226,0.00645791516831531,0.813182871797229,0.898128673375423,0.915753113914039,0.933845201456367,1.04262835445227,0.0263551874788087,2.05511214036145,2.27213990825571,2.32471516715621,2.38103490016367,2.64238043208138,0.0783593800890004
"lCUN","ANTsCross",0.314715020279443,0.332127623090946,0.335735443441449,0.3395631015211,0.355711584997312,0.00556282753429073,0.854939947045034,0.935145064572227,0.952923651358654,0.971552011371671,1.05122241090507,0.0267913358148222,2.51706114850884,2.7771632067085,2.83931940339714,2.9018155995606,3.19831602702238,0.093714993838682
"lENT","ANTsCross",0.271361894275042,0.284551659341499,0.287721535990181,0.290983385114538,0.307409157002713,0.0047553936382759,0.875015491158322,0.94375037756616,0.961573798293648,0.979164132631615,1.06163533686419,0.0266305988797034,2.9733254804586,3.26864537979678,3.34327656745068,3.41460125775286,3.73169663466078,0.108120762712336
"lFUS","ANTsCross",0.270359640499187,0.284965795490331,0.288193311759473,0.291433400434124,0.307830348354581,0.00475491781621493,0.885837053534804,0.948292359238377,0.965911671985994,0.984595055497613,1.06779997754658,0.0270050662126342,2.99594769659941,3.27893602744991,3.35242350616376,3.42736582908815,3.74314760986334,0.110621859119691
"lIPL","ANTsCross",0.305136006839846,0.317240246823999,0.320794129967615,0.324571645392317,0.340087511805414,0.00529325124429375,0.863508366700102,0.936158285563323,0.955153682874825,0.972235889920607,1.05217173590774,0.0270151190509313,2.66435255191925,2.9111542383315,2.97583450211859,3.04021882826491,3.34438738503874,0.0982495261036132
"lITG","ANTsCross",0.306640686872699,0.322206893583416,0.325827023841395,0.329507937982575,0.344569086623227,0.00529302979796584,0.848997708192376,0.931066298112894,0.948920541632536,0.967848957298549,1.05988649122805,0.0270477007439149,2.57595487900916,2.84901794304939,2.91209997299072,2.97731835091621,3.31283849880847,0.0965367972822126
"liCC","ANTsCross",0.265058042895522,0.276878443274714,0.279995594496851,0.283244970976096,0.296492442525175,0.00473283980838232,0.883620432578335,0.948660260741474,0.966650735115518,0.985818838213166,1.05745513082379,0.0271849216422348,3.11027422085553,3.37549411149218,3.45382201707192,3.53074201402123,3.90589046220282,0.114104584266818
"lLOG","ANTsCross",0.296437706019261,0.313935861655413,0.317510228710313,0.32097218651855,0.33737017865467,0.00524750473309213,0.8664259186992,0.933698045977581,0.950821570178078,0.969214810060474,1.05618134287924,0.0260430395081235,2.70234762194922,2.93056745170488,2.99496170391042,3.06296061434516,3.37823900686968,0.0976793398358912
"lLOF","ANTsCross",0.271019653216828,0.28454738464228,0.287797835848927,0.291025799751134,0.306801285572254,0.00473800095416361,0.883025168155978,0.949927705508102,0.968421588593241,0.986975094628549,1.06813109281317,0.0273385458031604,3.00938461392115,3.2922518750276,3.36511381415919,3.43793693678724,3.82276412745123,0.110766713433144
"lLING","ANTsCross",0.299805100428335,0.313644925787314,0.317286919061195,0.321088343381235,0.335178349202702,0.0053026942076613,0.866393355828773,0.941158198800972,0.959570723651986,0.977264012297545,1.06093970942149,0.0267136467823064,2.67326107061286,2.95636990775253,3.02191792604667,3.08965472115427,3.4014831482665,0.0989853227717009
"lMOF","ANTsCross",0.302792759898791,0.318894806537243,0.322426127625519,0.326001873832379,0.345242777438922,0.00524657531920305,0.873668007964077,0.939645619833601,0.956582250550915,0.974291356744843,1.05425231586097,0.0266888904617812,2.66841460651222,2.9006295305554,2.96668267715354,3.03325194074569,3.3234923247548,0.0990502657375527
